pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
7588,RuntimeBroker.exe,0.0,2.60MB,579.57KB,160.00B,running,2021-03-16 22:20:33,32,1,4
13644,chrome.exe,0.0,3.15MB,6.12MB,3.99MB,running,2021-03-17 13:21:06,64,14,4
10044,brave.exe,0.0,3.16MB,220.92KB,418.97KB,running,2021-03-17 16:39:40,32,8,4
5424,Receiver.exe,0.1,3.18MB,5.86MB,50.42KB,running,2021-03-16 22:21:32,32,40,4
2916,wfcrun32.exe,0.0,3.30MB,1.01MB,54.95KB,running,2021-03-16 22:21:54,32,20,4
15328,conhost.exe,0.0,3.33MB,60.00B,0.00B,running,2021-03-17 16:16:44,32,3,4
1296,SynTPEnh.exe,1.8,3.34MB,0.00B,0.00B,running,2021-03-16 22:19:42,32768,9,4
2540,TextInputHost.exe,0.1,3.50MB,30.62KB,0.00B,running,2021-03-16 22:28:10,32,9,4
6768,FortiTray.exe,0.0,3.83MB,25.14MB,171.15MB,running,2021-03-16 22:19:49,32,55,4
8288,OneDrive.exe,0.0,3.85MB,2.53MB,2.36MB,running,2021-03-16 22:21:08,32,20,4
12456,SelfService.exe,0.0,3.88MB,171.71KB,20.02KB,running,2021-03-17 01:32:07,32,13,4
4296,concentr.exe,0.0,3.92MB,143.03KB,23.25KB,running,2021-03-16 22:21:26,32,11,4
8024,MobaXterm_Personal_20.6.exe,0.1,4.07MB,1.40MB,23.31MB,running,2021-03-17 11:38:22,32,2,4
5504,RuntimeBroker.exe,0.0,4.21MB,481.37KB,3.95KB,running,2021-03-17 09:31:53,32,16,4
15608,RuntimeBroker.exe,0.0,4.30MB,117.02KB,248.00B,running,2021-03-17 16:18:08,32,4,4
3944,RuntimeBroker.exe,0.0,4.96MB,204.65KB,248.00B,running,2021-03-16 22:32:01,32,13,4
9900,smartscreen.exe,0.0,5.02MB,13.13KB,160.00B,running,2021-03-17 17:44:53,32,10,4
